Tactic,Technique ID,Technique Name,Description
Reconnaissance,T1595,Active Scanning,Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.
Reconnaissance,T1592,Gather Victim Host Information,Adversaries may gather information about the victim's hosts that can be used during targeting.
Reconnaissance,T1589,Gather Victim Identity Information,Adversaries may gather information about the victim's identity that can be used during targeting.
Reconnaissance,T1590,Gather Victim Network Information,Adversaries may gather information about the victim's network that can be used during targeting.
Resource Development,T1583,Acquire Infrastructure,Adversaries may buy, lease, or rent infrastructure that can be used during targeting.
Resource Development,T1587,Develop Capabilities,Adversaries may build malware or other tools that can be used during targeting.
Initial Access,T1190,Exploit Public-Facing Application,Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.
Initial Access,T1566,Phishing,Adversaries may send phishing messages to gain access to victim systems.
Initial Access,T1078,Valid Accounts,Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access.
Initial Access,T1189,Drive-by Compromise,Adversaries may gain access to a system through a user visiting a website over the normal course of browsing.
Execution,T1059,Command and Scripting Interpreter,Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.
Execution,T1204,User Execution,Adversaries may rely on specific actions by a user in order to gain execution.
Execution,T1047,Windows Management Instrumentation,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads.
Execution,T1053,Scheduled Task/Job,Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.
Persistence,T1098,Account Manipulation,Adversaries may manipulate accounts to maintain access to victim systems.
Persistence,T1543,Create or Modify System Process,Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.
Persistence,T1547,Boot or Logon Autostart Execution,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence.
Persistence,T1546,Event Triggered Execution,Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.
Privilege Escalation,T1068,Exploitation for Privilege Escalation,Adversaries may exploit software vulnerabilities in an attempt to elevate privileges.
Privilege Escalation,T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.
Privilege Escalation,T1134,Access Token Manipulation,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and evade detection.
Defense Evasion,T1070,Indicator Removal on Host,Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses.
Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis.
Defense Evasion,T1222,File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access controls and enable execution.
Defense Evasion,T1036,Masquerading,Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools.
Credential Access,T1003,OS Credential Dumping,Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password.
Credential Access,T1110,Brute Force,Adversaries may use brute force techniques to attempt access to accounts when passwords are unknown or when password hashes are obtained.
Credential Access,T1056,Input Capture,Adversaries may use methods of capturing user input to obtain credentials or collect information.
Credential Access,T1555,Credentials from Passwords Stores,Adversaries may search for common password storage locations to obtain user credentials.
Discovery,T1082,System Information Discovery,Adversaries may attempt to get detailed information about the operating system and hardware.
Discovery,T1083,File and Directory Discovery,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information.
Discovery,T1049,System Network Connections Discovery,Adversaries may attempt to get a listing of network connections to or from the compromised system.
Discovery,T1018,Remote System Discovery,Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network.
Lateral Movement,T1021,Remote Services,Adversaries may use Valid Accounts to log into a service specifically designed to accept remote connections.
Lateral Movement,T1550,Use Alternate Authentication Material,Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within a network.
Lateral Movement,T1080,Taint Shared Content,Adversaries may deliver payloads to remote systems by adding content to shared storage.
Collection,T1005,Data from Local System,Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration.
Collection,T1114,Email Collection,Adversaries may target user email to collect sensitive information.
Collection,T1560,Archive Collected Data,Adversaries may compress and/or encrypt data that is collected prior to exfiltration.
Collection,T1119,Automated Collection,Adversaries may automate collection of data from a compromised system or network.
Command and Control,T1071,Application Layer Protocol,Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic.
Command and Control,T1105,Ingress Tool Transfer,Adversaries may transfer tools or other files from an external system into a compromised environment.
Command and Control,T1573,Encrypted Channel,Adversaries may employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
Command and Control,T1572,Protocol Tunneling,Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems.
Exfiltration,T1041,Exfiltration Over C2 Channel,Adversaries may steal data by exfiltrating it over an existing command and control channel.
Exfiltration,T1048,Exfiltration Over Alternative Protocol,Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel.
Exfiltration,T1567,Exfiltration Over Web Service,Adversaries may use an existing, legitimate external Web service to exfiltrate data from a compromised network.
Impact,T1486,Data Encrypted for Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources.
Impact,T1485,Data Destruction,Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources.
Impact,T1490,Inhibit System Recovery,Adversaries may delete or remove built-in operating system data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.
Impact,T1498,Network Denial of Service,Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.
